generation,best_fitness,min_fitness,max_fitness,mean_fitness,std_fitness,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5
152,5.32979,5.3377,394.466,15.5286,41.8158,-777.353,178.086,419.939,52.8106,1037.57,4570.35
153,5.32979,5.33158,423.688,15.5215,40.7104,-777.353,178.086,419.939,52.8106,1037.57,4570.35
154,5.32979,5.3337,380.359,16.0419,42.7845,-777.353,178.086,419.939,52.8106,1037.57,4570.35
155,5.32979,5.33816,370.961,15.2327,35.2602,-777.353,178.086,419.939,52.8106,1037.57,4570.35
156,5.32979,5.33209,241.623,12.9184,27.675,-777.353,178.086,419.939,52.8106,1037.57,4570.35
157,5.32979,5.33655,299.574,12.3108,24.2975,-777.353,178.086,419.939,52.8106,1037.57,4570.35
158,5.32979,5.33001,515.557,16.347,49.7571,-777.353,178.086,419.939,52.8106,1037.57,4570.35
159,5.32979,5.33168,257.16,12.4547,24.2947,-777.353,178.086,419.939,52.8106,1037.57,4570.35
160,5.32979,5.33412,540.797,15.9663,46.2192,-777.353,178.086,419.939,52.8106,1037.57,4570.35
161,5.3251,5.3251,460.813,13.304,35.4054,-776.459,177.933,419.326,52.771,1040.78,4569.98
162,5.32171,5.32171,300.915,12.5542,25.7578,-776.167,177.935,419.009,52.7669,1039.73,4572.58
163,5.32171,5.33267,343.061,13.5103,31.5835,-776.167,177.935,419.009,52.7669,1039.73,4572.58
164,5.32171,5.3356,471.234,14.0609,39.6084,-776.167,177.935,419.009,52.7669,1039.73,4572.58
165,5.32171,5.33164,423.464,15.0044,38.0806,-776.167,177.935,419.009,52.7669,1039.73,4572.58
166,5.32171,5.32178,350.854,11.7086,24.891,-776.167,177.935,419.009,52.7669,1039.73,4572.58
167,5.32154,5.32154,270.501,13.6992,28.1073,-776.235,177.95,418.729,52.9944,1038.54,4574.1
168,5.32154,5.34675,424.059,15.3899,40.508,-776.235,177.95,418.729,52.9944,1038.54,4574.1
169,5.32154,5.32378,481.138,14.8853,39.0639,-776.235,177.95,418.729,52.9944,1038.54,4574.1
170,5.32154,5.32229,301.675,12.6317,26.2372,-776.235,177.95,418.729,52.9944,1038.54,4574.1
171,5.32154,5.32623,309.19,11.8647,26.6463,-776.235,177.95,418.729,52.9944,1038.54,4574.1
172,5.32154,5.32581,213.043,12.165,20.7544,-776.235,177.95,418.729,52.9944,1038.54,4574.1
173,5.32154,5.33071,522.978,15.4081,48.482,-776.235,177.95,418.729,52.9944,1038.54,4574.1
174,5.31931,5.31931,374.675,13.2247,32.4108,-775.31,177.972,418.057,52.8072,1040.13,4576.59
175,5.31931,5.32476,219.321,11.4938,19.2604,-775.31,177.972,418.057,52.8072,1040.13,4576.59
176,5.31931,5.32595,209.729,12.4432,21.3079,-775.31,177.972,418.057,52.8072,1040.13,4576.59
177,5.31931,5.32579,200.754,12.3793,21.8534,-775.31,177.972,418.057,52.8072,1040.13,4576.59
178,5.31931,5.32294,502.439,14.7608,44.9309,-775.31,177.972,418.057,52.8072,1040.13,4576.59
179,5.31931,5.32706,316.898,13.1682,28.2408,-775.31,177.972,418.057,52.8072,1040.13,4576.59
180,5.31931,5.32829,220.721,12.8483,24.0915,-775.31,177.972,418.057,52.8072,1040.13,4576.59
181,5.31931,5.31943,382.962,12.4621,28.5689,-775.31,177.972,418.057,52.8072,1040.13,4576.59
182,5.31931,5.31993,508.505,13.1652,34.8526,-775.31,177.972,418.057,52.8072,1040.13,4576.59
183,5.31701,5.31701,409.435,13.1979,36.0631,-774.94,178.035,417.649,52.8008,1040.11,4576.14
184,5.31701,5.31791,309.8,12.9525,23.9732,-774.94,178.035,417.649,52.8008,1040.11,4576.14
185,5.3169,5.3169,414.7,13.1179,30.2872,-775.639,177.99,418.055,53.0552,1039.51,4574.19
186,5.3169,5.32187,384.059,13.0898,29.4248,-775.639,177.99,418.055,53.0552,1039.51,4574.19
187,5.3169,5.33198,232.924,11.4137,21.0772,-775.639,177.99,418.055,53.0552,1039.51,4574.19
188,5.3169,5.31728,334.823,12.6714,26.3402,-775.639,177.99,418.055,53.0552,1039.51,4574.19
189,5.3169,5.31975,222.121,12.4076,21.9658,-775.639,177.99,418.055,53.0552,1039.51,4574.19
190,5.31293,5.31293,188.844,11.2616,16.7104,-774.896,178.172,417.352,52.8882,1040.45,4575.25
191,5.31293,5.32008,605.547,14.0883,44.5001,-774.896,178.172,417.352,52.8882,1040.45,4575.25
192,5.31293,5.31998,404.289,13.9667,33.5444,-774.896,178.172,417.352,52.8882,1040.45,4575.25
193,5.31293,5.3346,524.841,14.6707,43.0076,-774.896,178.172,417.352,52.8882,1040.45,4575.25
194,5.31293,5.32321,575.468,14.724,42.0311,-774.896,178.172,417.352,52.8882,1040.45,4575.25
195,5.31293,5.31708,503.952,13.5379,38.0464,-774.896,178.172,417.352,52.8882,1040.45,4575.25
196,5.31293,5.32388,460.707,14.363,40.9333,-774.896,178.172,417.352,52.8882,1040.45,4575.25
197,5.31293,5.31754,391.551,13.9315,32.5851,-774.896,178.172,417.352,52.8882,1040.45,4575.25
198,5.31293,5.31989,248.716,12.1408,18.4676,-774.896,178.172,417.352,52.8882,1040.45,4575.25
199,5.31293,5.31808,360.055,13.3052,26.9693,-774.896,178.172,417.352,52.8882,1040.45,4575.25
200,5.31293,5.32122,424.495,14.3042,36.7948,-774.896,178.172,417.352,52.8882,1040.45,4575.25
201,5.31293,5.32602,467.079,13.8467,39.5267,-774.896,178.172,417.352,52.8882,1040.45,4575.25
202,5.31293,5.32156,191.442,11.7583,16.7894,-774.896,178.172,417.352,52.8882,1040.45,4575.25
203,5.31293,5.31582,478.886,13.307,34.0868,-774.896,178.172,417.352,52.8882,1040.45,4575.25
